                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                        7503      1.0000000000000000E+000      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64 
                            model_number                                 star_age                                star_mass                                   log_dt                               log_xmstar                             log_abs_mdot                                num_zones                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                 log_Teff                               luminosity                                    log_L                                    log_R                                    log_g                                  gravity                             log_center_T                           log_center_Rho                             log_center_P                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                                       pp                                      cno                                 tri_alfa                        v_div_csound_surf                              num_retries                              num_backups                          max_eps_nuc_lgT                        max_eps_nuc_lgRho                              He_env_mass                       He_env_base_radius 
                                       1                  1.3732910156250002E-015                  1.0000000000000000E+000                 -1.4862237421184373E+001                  3.3298678450560182E+001                 -7.4559319556497234E+000                                      685                  0.0000000000000000E+000                  9.9999982804805543E-001                  9.9999734997432255E-001                  9.9999999999760436E-001                  9.9999999636161541E-001                  9.9999982804805543E-001                  9.9999734997432255E-001                  9.9999999999760436E-001                  9.9999999636161541E-001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.9287338435228421E+000                 -7.3806345316333505E+001                 -2.5587549631438399E+001                 -9.9287338435228421E+000                  4.7044342709911033E+000                  3.7587517390799630E-001                 -4.2495635795423764E-001                 -2.0980878845066990E+000                  8.6340651224265237E+000                  4.3059117276661885E+008                  7.5945706369672381E+000                  7.5228055268608403E+000                  2.4664526418079102E+001                  1.7556355048126164E+000                  5.0000000000000000E-001                  1.4368990089712991E+001                  5.4712351272476036E-044                  1.2082748603656083E-030                  3.5702984731553361E-001                  6.1888009749475370E-001                  6.1621471920267346E-001                  3.5969116846270827E-001                  6.2545908751076196E-026                  1.4743849966310849E-022                 -2.2723959382353769E+001                 -9.9287338435229113E+000                 -7.3806345316333505E+001                 -4.1059613378509976E+007                                        8                                        4                  7.5945458201440683E+000                  7.5212347913703423E+000                  9.9920072216264089E-015                  7.9780809375331711E-003 
                                       5                  1.0219482421875001E-014                  1.0000000000000000E+000                 -1.4545512436993874E+001                  3.3298678450560182E+001                 -7.4559319556497234E+000                                      879                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9999999999997113E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9999999999997113E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.9285269539929466E+000                 -7.3808832516573389E+001                 -9.8999999999999986E+001                 -9.9285269539929466E+000                  4.7090171131422016E+000                  3.9211181025534630E-001                 -4.0659007672177155E-001                 -2.0980704281926617E+000                  8.6340302097984480E+000                  4.3055655923625964E+008                  7.5946507736792084E+000                  7.5230036607051103E+000                  2.4664804219673361E+001                  1.7556355048126164E+000                  5.0000000000000000E-001                  1.4368990089712991E+001                  5.4712338025761529E-044                  1.2082748603656083E-030                  3.5702984731553361E-001                  6.1888009749475370E-001                  6.1621471920265480E-001                  3.5969116846269761E-001                  6.2545908739088518E-026                  4.5705500648705935E-022                 -2.2724337952130199E+001                 -9.9285269539930177E+000                 -7.3808832516573389E+001                  9.1628641556127899E-001                                        8                                        4                  7.5946258545103333E+000                  7.5214326981319433E+000                  9.9920072216264089E-015                  7.9784006832255960E-003 
                                      10                  3.5648824921874998E-014                  1.0000000000000000E+000                 -1.4149606206755751E+001                  3.3298678450560182E+001                 -7.4559319556497234E+000                                      869                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9999999999997113E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9999999999997113E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.9285747313338391E+000                 -7.3808937829709279E+001                 -9.8999999999999986E+001                 -9.9285747313338391E+000                  4.7090331406436778E+000                  3.9217192830192776E-001                 -4.0652349638952523E-001                 -2.0980691930294921E+000                  8.6340277394721099E+000                  4.3055411017870051E+008                  7.5946511042206017E+000                  7.5230110617461303E+000                  2.4664814590293947E+001                  1.7556355048126164E+000                  5.0000000000000000E-001                  1.4368990089712991E+001                  5.4712299912940095E-044                  1.2082748603656083E-030                  3.5702984731553361E-001                  6.1888009749475370E-001                  6.1621471920260140E-001                  3.5969116846266647E-001                  6.2545908704628649E-026                  1.3470819938411600E-021                 -2.2724362797571736E+001                 -9.9285747313339083E+000                 -7.3808937829709279E+001                  2.0388960487379843E+003                                        8                                        4                  7.5946261870378313E+000                  7.5214401003670774E+000                  9.9920072216264089E-015                  7.9784233578885210E-003 
                                      15                  9.8925166451474992E-014                  1.0000000000000000E+000                 -1.3753699976517625E+001                  3.3298678450560182E+001                 -7.4559319556497234E+000                                      869                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9999999999997113E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9999999999997113E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.9285747982462880E+000                 -7.3808937829708228E+001                 -9.8999999999999986E+001                 -9.9285747982462880E+000                  4.7090760557645641E+000                  3.9232697224297625E-001                 -4.0635183336009378E-001                 -2.0980691917565490E+000                  8.6340277369262228E+000                  4.3055410765474087E+008                  7.5946511042206124E+000                  7.5230110617461534E+000                  2.4664814590293979E+001                  1.7556355048126164E+000                  5.0000000000000000E-001                  1.4368990089712991E+001                  5.4712205072726345E-044                  1.2082748603656083E-030                  3.5702984731553361E-001                  6.1888009749475370E-001                  6.1621471920246862E-001                  3.5969116846258892E-001                  6.2545908618886736E-026                  3.5617539463290967E-021                 -2.2724362797567778E+001                 -9.9285747982463572E+000                 -7.3808937829708228E+001                  1.0958352435661975E+000                                        8                                        4                  7.5946261870378420E+000                  7.5214401003670988E+000                  9.9920072216264089E-015                  7.9784233417004909E-003 
                                      20                  2.5637695260640922E-013                  1.0000000000000000E+000                 -1.3357793746279501E+001                  3.3298678450560182E+001                 -7.4559319556497234E+000                                      869                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9999999999997113E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9999999999997113E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.9285749647461916E+000                 -7.3808937829708086E+001                 -9.8999999999999986E+001                 -9.9285749647461916E+000                  4.7091827156867971E+000                  3.9271258032217843E-001                 -4.0592518613220296E-001                 -2.0980691879870688E+000                  8.6340277293872614E+000                  4.3055410018070954E+008                  7.5946511042206044E+000                  7.5230110617461410E+000                  2.4664814590293954E+001                  1.7556355048126164E+000                  5.0000000000000000E-001                  1.4368990089712991E+001                  5.4711969080711030E-044                  1.2082748603656083E-030                  3.5702984731553361E-001                  6.1888009749475370E-001                  6.1621471920213799E-001                  3.5969116846239596E-001                  6.2545908405533593E-026                  9.0725664549021318E-021                 -2.2724362797566869E+001                 -9.9285749647462609E+000                 -7.3808937829708086E+001                  5.9094372320604083E-001                                        8                                        4                  7.5946261870378402E+000                  7.5214401003670952E+000                  9.9920072216264089E-015                  7.9784233127584911E-003 
                                      25                  6.4816738113145504E-013                  1.0000000000000000E+000                 -1.2961887516041378E+001                  3.3298678450560182E+001                 -7.4559319556497234E+000                                      869                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9999999999997113E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9999999999997113E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.9285753790499047E+000                 -7.3808937829706011E+001                 -9.8999999999999986E+001                 -9.9285753790499047E+000                  4.7094458956175780E+000                  3.9366567265574687E-001                 -4.0487245370395225E-001                 -2.0980691816345067E+000                  8.6340277166821373E+000                  4.3055408758500910E+008                  7.5946511042206373E+000                  7.5230110617462058E+000                  2.4664814590294057E+001                  1.7556355048126164E+000                  5.0000000000000000E-001                  1.4368990089712991E+001                  5.4711381861922256E-044                  1.2082748603656083E-030                  3.5702984731553361E-001                  6.1888009749475370E-001                  6.1621471920131532E-001                  3.5969116846191579E-001                  6.2545907874643128E-026                  2.2785231409967385E-020                 -2.2724362797564396E+001                 -9.9285753790499740E+000                 -7.3808937829706011E+001                  3.6878930453302883E-001                                        8                                        4                  7.5946261870378722E+000                  7.5214401003671574E+000                  9.9920072216264089E-015                  7.9784231840224571E-003 
                                      30                  1.6230673402388971E-012                  1.0000000000000000E+000                 -1.2565981285803254E+001                  3.3298678450560182E+001                 -7.4559319556497234E+000                                      869                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9999999999997113E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9999999999997113E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.9285764099672580E+000                 -7.3808937829706920E+001                 -9.8999999999999986E+001                 -9.9285764099672580E+000                  4.7100927941381228E+000                  3.9601822804081005E-001                 -4.0228482378320185E-001                 -2.0980691637152207E+000                  8.6340276808435661E+000                  4.3055405205510163E+008                  7.5946511042206222E+000                  7.5230110617461845E+000                  2.4664814590294025E+001                  1.7556355048126164E+000                  5.0000000000000000E-001                  1.4368990089712991E+001                  5.4709920703774333E-044                  1.2082748603656083E-030                  3.5702984731553361E-001                  6.1888009749475370E-001                  6.1621471919926840E-001                  3.5969116846072091E-001                  6.2545906553620177E-026                  5.6906729708258638E-020                 -2.2724362797566528E+001                 -9.9285764099673273E+000                 -7.3808937829706920E+001                  3.6266050752441858E-001                                        8                                        4                  7.5946261870378589E+000                  7.5214401003671325E+000                  9.9920072216264089E-015                  7.9784229063674748E-003 
                                      35                  4.0489304064851271E-012                  1.0000000000000000E+000                 -1.2170075055565130E+001                  3.3298678450560182E+001                 -7.4559319556497234E+000                                      869                  0.0000000000000000E+000                  9.9999999999975875E-001                  9.9999999999935951E-001                  1.0000000000000000E+000                  9.9999999999997113E-001                  9.9999999999975875E-001                  9.9999999999935951E-001                  1.0000000000000000E+000                  9.9999999999997113E-001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.9285789751922540E+000                 -7.3808937829705641E+001                 -9.8999999999999986E+001                 -9.9285789751922540E+000                  4.7116494839063776E+000                  4.0173716977334833E-001                 -3.9605798434834677E-001                 -2.0980691235343030E+000                  8.6340276004817316E+000                  4.3055397238540196E+008                  7.5946511042206231E+000                  7.5230110617461934E+000                  2.4664814590294025E+001                  1.7556355048126164E+000                  5.0000000000000000E-001                  1.4368990089712991E+001                  5.4706285061148200E-044                  1.2082748603656083E-030                  3.5702984731553361E-001                  6.1888009749475370E-001                  6.1621471919417492E-001                  3.5969116845774785E-001                  6.2545903266507322E-026                  1.4181193534562040E-019                 -2.2724362797563565E+001                 -9.9285789751923232E+000                 -7.3808937829705641E+001                  3.0265023952035919E-001                                        8                                        4                  7.5946261870378651E+000                  7.5214401003671449E+000                  9.9920072216264089E-015                  7.9784221505928097E-003 
                                      40                  1.0085253991486943E-011                  1.0000000000000000E+000                 -1.1774168825327006E+001                  3.3298678450560182E+001                 -7.4559319556497234E+000                                      869                  0.0000000000000000E+000                  9.9999999999975875E-001                  9.9999999999936073E-001                  1.0000000000000000E+000                  9.9999999999997113E-001                  9.9999999999975875E-001                  9.9999999999936073E-001                  1.0000000000000000E+000                  9.9999999999997113E-001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.9285853581293466E+000                 -7.3808937829710757E+001                 -9.8999999999999986E+001                 -9.9285853581293466E+000                  4.7152139218017073E+000                  4.1514513638500439E-001                 -3.8180004566925640E-001                 -2.0980690299854170E+000                  8.6340274133839578E+000                  4.3055378689911330E+008                  7.5946511042205325E+000                  7.5230110617460175E+000                  2.4664814590293794E+001                  1.7556355048126164E+000                  5.0000000000000000E-001                  1.4368990089712991E+001                  5.4697239573011617E-044                  1.2082748603656083E-030                  3.5702984731553361E-001                  6.1888009749475370E-001                  6.1621471918150073E-001                  3.5969116845034971E-001                  6.2545895087210333E-026                  3.5308325038114208E-019                 -2.2724362797568496E+001                 -9.9285853581294159E+000                 -7.3808937829710757E+001                  2.7112067419894670E-001                                        8                                        4                  7.5946261870377736E+000                  7.5214401003669673E+000                  9.9920072216264089E-015                  7.9784202598548459E-003 
